rule_id,rag,severity,summary,recommendation,evidence_locator,collector_name,collector_version,confidence,pattern_tag
HYG-BLD-001,green,info,Build system configured via pyproject.toml (backend: hatchling.build).,No action required.,pyproject.toml,build-readiness,0.1.0,1.0,build-system-presence
HYG-BLD-003,green,info,1 entry point(s) configured.,No action required.,pyproject.toml,build-readiness,0.1.0,1.0,entry-points
HYG-BLD-002,green,info,Version 1.0.0 declared in pyproject.toml.,No action required.,pyproject.toml,build-readiness,0.1.0,1.0,version-strategy
HYG-CI-001,green,info,CI/CD detected: github-actions.,No action required.,.,ci-automation,0.1.0,1.0,ci-presence
HYG-CI-003,green,info,Lint/format step detected in CI.,No action required.,.,ci-automation,0.1.0,0.8,ci-has-lint
HYG-CI-004,green,info,SAST/security scanning step detected in CI.,No action required.,.,ci-automation,0.1.0,0.8,ci-has-sast
HYG-CI-002,green,info,Test steps found in 1 CI configuration(s).,No action required.,.,ci-automation,0.1.0,0.8,ci-has-tests
HYG-CI-005,green,info,All 6 action reference(s) are SHA-pinned.,No action required.,.,ci-automation,0.1.0,0.9,ci-pin-actions
HYG-COM-005,green,info,Changelog found at CHANGELOG.md.,No action required.,CHANGELOG.md,community,0.1.0,1.0,changelog-presence
HYG-COM-003,green,info,CODE_OF_CONDUCT.md found.,No action required.,CODE_OF_CONDUCT.md,community,0.1.0,1.0,code-of-conduct-presence
HYG-COM-006,green,info,CODEOWNERS found at CODEOWNERS.,No action required.,CODEOWNERS,community,0.1.0,1.0,codeowners-presence
HYG-COM-002,green,info,CONTRIBUTING.md found.,No action required.,CONTRIBUTING.md,community,0.1.0,1.0,contributing-presence
HYG-COM-001,green,info,README found (383 bytes).,No action required.,README.md,community,0.1.0,1.0,readme-presence
HYG-COM-004,green,info,Security policy found at SECURITY.md.,No action required.,SECURITY.md,community,0.1.0,1.0,security-policy-presence
HYG-DOC-003,green,info,Top-level __init__.py has a module docstring.,No action required.,.,documentation,0.1.0,0.8,api-docs-hint
HYG-DOC-002,green,info,Documentation infrastructure found: docs/ directory present.,No action required.,.,documentation,0.1.0,1.0,docs-infrastructure
HYG-DOC-001,green,info,pyproject.toml: all key metadata fields present.,No action required.,pyproject.toml,documentation,0.1.0,1.0,pkg-metadata-completeness
HYG-PRV-002,green,info,No internal organization references detected.,No action required.,.,privacy,0.1.0,0.8,internal-refs-clean
HYG-PRV-001,green,info,No PII patterns detected in source files.,No action required.,.,privacy,0.1.0,0.7,pii-clean
HYG-PRV-003,green,info,No hardcoded tracking or analytics IDs detected.,No action required.,.,privacy,0.1.0,0.9,tracking-ids-clean
